sequence id, heavy chain V region, heavy chain J region, Canonical H1, Canonical H2, Canonical H3, PI, frequent positional motif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r1_10,Germ_HV_IGHV3-23*01,Germ_HJ_IGHJ6*01,Canonical_H1_1,Canonical_H2_6,Canonical_H3_3,PI_6.125-7.0,Motif_9_YYY,Motif_10_YYG,Motif_10_YYY,Motif_3_YY,Motif_8_YY,Motif_8_YYY,Motif_10_YY,Motif_2_YG,Motif_2_YY,Motif_7_YY,Motif_7_YYY,Motif_6_YY,Motif_5_YY,Motif_9_YY,,,,,,,,,,,,,,,,,
r1_11,Germ_HV_IGHV3-23*01,Germ_HJ_IGHJ6*01,Canonical_H1_1,Canonical_H2_6,Canonical_H3_3,PI_3.5-3.9375,Motif_9_YYY,Motif_10_YYG,Motif_10_YYY,Motif_3_YY,Motif_8_YY,Motif_8_YYY,Motif_10_YY,Motif_2_YG,Motif_2_YY,Motif_7_YY,Motif_7_YYY,Motif_6_YY,Motif_5_YY,Motif_9_YY,,,,,,,,,,,,,,,,,
r1_12,Germ_HV_IGHV3-23*01,Germ_HJ_IGHJ6*01,Canonical_H1_1,Canonical_H2_6,Canonical_H3_3,PI_0.0-3.5,Motif_7_SGY,Motif_3_YY,Motif_6_SG,Motif_8_YY,Motif_3_SG,Motif_5_SG,Motif_10_YY,Motif_7_SG,Motif_9_FD,Motif_2_YY,Motif_7_YY,Motif_6_YY,Motif_8_GY,Motif_5_YY,Motif_4_SG,Motif_9_YY,,,,,,,,,,,,,,,
r1_13,Germ_HV_IGHV3-23*01,Germ_HJ_IGHJ6*01,Canonical_H1_1,Canonical_H2_6,Canonical_H3_3,PI_3.9375-4.375,Motif_6_SG,Motif_3_SG,Motif_5_SG,Motif_2_GG,Motif_2_GS,Motif_7_SG,Motif_2_YG,Motif_4_SG,,,,,,,,,,,,,,,,,,,,,,,
r1_14,Germ_HV_IGHV3-23*01,Germ_HJ_IGHJ6*01,Canonical_H1_1,Canonical_H2_6,Canonical_H3_3,PI_6.125-7.0,Motif_10_YYG,Motif_3_YY,Motif_8_YY,Motif_10_YY,Motif_2_YG,Motif_2_YY,Motif_7_YY,Motif_6_YY,Motif_5_YY,Motif_9_YY,,,,,,,,,,,,,,,,,,,,,
r1_15,Germ_HV_IGHV3-23*01,Germ_HJ_IGHJ4*02,Canonical_H1_1,Canonical_H2_6,Canonical_H3_3,PI_5.6875-6.125,Motif_9_FD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r1_16,Germ_HV_IGHV3-23*01,Germ_HJ_IGHJ4*02,Canonical_H1_1,Canonical_H2_6,Canonical_H3_3,PI_3.9375-4.375,Motif_4_YDS,Motif_7_SGY,Motif_3_YY,Motif_6_SG,Motif_8_YY,Motif_3_YYD,Motif_3_SG,Motif_5_SG,Motif_3_SS,Motif_4_SS,Motif_10_YY,Motif_4_YD,Motif_6_SSG,Motif_7_SG,Motif_5_DS,Motif_9_FD,Motif_2_YY,Motif_7_YY,Motif_6_YY,Motif_8_GY,Motif_5_YY,Motif_4_SG,Motif_9_YY,Motif_6_SS,,,,,,,
r1_17,Germ_HV_IGHV3-23*01,Germ_HJ_IGHJ4*02,Canonical_H1_1,Canonical_H2_6,Canonical_H3_3,PI_4.8125-5.25,Motif_2_GG,Motif_9_FD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r1_18,Germ_HV_IGHV3-23*01,Germ_HJ_IGHJ6*01,Canonical_H1_1,Canonical_H2_6,Canonical_H3_2,PI_3.5-3.9375,Motif_9_YYY,Motif_10_YYG,Motif_10_YYY,Motif_3_YY,Motif_8_YY,Motif_8_YYY,Motif_10_YY,Motif_2_YG,Motif_2_YY,Motif_7_YY,Motif_7_YYY,Motif_6_YY,Motif_5_YY,Motif_9_YY,,,,,,,,,,,,,,,,,
r1_19,Germ_HV_IGHV3-23*01,Germ_HJ_IGHJ4*02,Canonical_H1_1,Canonical_H2_6,Canonical_H3_3,PI_3.9375-4.375,Motif_2_GS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r1_20,Germ_HV_IGHV3-23*01,Germ_HJ_IGHJ5*02,Canonical_H1_1,Canonical_H2_6,Canonical_H3_3,PI_5.6875-6.125,Motif_9_FD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r1_21,Germ_HV_IGHV3-23*01,Germ_HJ_IGHJ4*02,Canonical_H1_1,Canonical_H2_6,Canonical_H3_3,PI_5.25-5.6875,Motif_3_SS,Motif_4_SS,Motif_9_FD,Motif_6_SS,,,,,,,,,,,,,,,,,,,,,,,,,,,
r1_22,Germ_HV_IGHV3-23*01,Germ_HJ_IGHJ4*02,Canonical_H1_1,Canonical_H2_6,Canonical_H3_3,PI_7.0-14.0,Motif_3_SS,Motif_4_SS,Motif_2_GG,Motif_6_SS,,,,,,,,,,,,,,,,,,,,,,,,,,,
r1_23,Germ_HV_IGHV3-23*01,Germ_HJ_IGHJ3*02,Canonical_H1_1,Canonical_H2_6,Canonical_H3_1,PI_0.0-3.5,Motif_9_FD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r1_24,Germ_HV_IGHV3-23*01,Germ_HJ_IGHJ6*01,Canonical_H1_1,Canonical_H2_6,Canonical_H3_0,PI_5.6875-6.125,Motif_3_SS,Motif_4_SS,Motif_2_GG,Motif_6_SS,,,,,,,,,,,,,,,,,,,,,,,,,,,
r1_25,Germ_HV_IGHV3-23*01,Germ_HJ_IGHJ6*01,Canonical_H1_1,Canonical_H2_0,Canonical_H3_0,PI_7.0-14.0,Motif_3_SS,Motif_4_SS,Motif_2_GS,Motif_2_YG,Motif_6_SS,,,,,,,,,,,,,,,,,,,,,,,,,,
r1_26,Germ_HV_IGHV3-23*01,Germ_HJ_IGHJ6*01,Canonical_H1_1,Canonical_H2_6,Canonical_H3_0,PI_5.6875-6.125,Motif_3_YY,Motif_8_YY,Motif_3_YYD,Motif_10_YY,Motif_4_YD,Motif_2_YY,Motif_7_YY,Motif_6_YY,Motif_5_YY,Motif_9_YY,,,,,,,,,,,,,,,,,,,,,
r1_27,Germ_HV_IGHV3-23*01,Germ_HJ_IGHJ6*01,Canonical_H1_1,Canonical_H2_6,Canonical_H3_0,PI_3.9375-4.375,Motif_9_YYY,Motif_10_YYG,Motif_10_YYY,Motif_7_SGY,Motif_3_YY,Motif_6_SG,Motif_8_YY,Motif_3_SG,Motif_5_SG,Motif_3_SS,Motif_4_SS,Motif_8_YYY,Motif_10_YY,Motif_6_SSG,Motif_7_SG,Motif_5_DS,Motif_2_YG,Motif_2_YY,Motif_7_YY,Motif_7_YYY,Motif_6_YY,Motif_8_GY,Motif_5_YY,Motif_4_SG,Motif_9_YY,Motif_6_SS,,,,,
r1_28,Germ_HV_IGHV3-23*01,Germ_HJ_IGHJ6*01,Canonical_H1_1,Canonical_H2_6,Canonical_H3_0,PI_4.375-4.8125,Motif_9_YYY,Motif_10_YYG,Motif_4_YDS,Motif_10_YYY,Motif_7_SGY,Motif_3_YY,Motif_6_SG,Motif_8_YY,Motif_3_YYD,Motif_3_SG,Motif_5_SG,Motif_3_SS,Motif_4_SS,Motif_8_YYY,Motif_10_YY,Motif_4_YD,Motif_6_SSG,Motif_7_SG,Motif_5_DS,Motif_2_YG,Motif_2_YY,Motif_7_YY,Motif_7_YYY,Motif_6_YY,Motif_8_GY,Motif_5_YY,Motif_4_SG,Motif_9_YY,Motif_6_SS,,
r1_29,Germ_HV_IGHV3-23*01,Germ_HJ_IGHJ6*01,Canonical_H1_1,Canonical_H2_6,Canonical_H3_0,PI_3.9375-4.375,Motif_9_YYY,Motif_10_YYG,Motif_10_YYY,Motif_3_YY,Motif_8_YY,Motif_3_SS,Motif_4_SS,Motif_2_GG,Motif_8_YYY,Motif_10_YY,Motif_2_GS,Motif_2_YG,Motif_2_YY,Motif_7_YY,Motif_7_YYY,Motif_6_YY,Motif_5_YY,Motif_9_YY,Motif_6_SS,,,,,,,,,,,,
r1_30,Germ_HV_IGHV3-23*01,Germ_HJ_IGHJ4*02,Canonical_H1_1,Canonical_H2_6,Canonical_H3_3,PI_3.9375-4.375,Motif_3_YY,Motif_8_YY,Motif_10_YY,Motif_2_YY,Motif_7_YY,Motif_6_YY,Motif_5_YY,Motif_9_YY,,,,,,,,,,,,,,,,,,,,,,,
r1_31,Germ_HV_IGHV3-23*01,Germ_HJ_IGHJ6*01,Canonical_H1_1,Canonical_H2_6,Canonical_H3_0,PI_4.375-4.8125,Motif_2_GG,Motif_2_YG,Motif_9_FD,Motif_8_GY,,,,,,,,,,,,,,,,,,,,,,,,,,,
r1_32,Germ_HV_IGHV3-23*01,Germ_HJ_IGHJ6*01,Canonical_H1_1,Canonical_H2_0,Canonical_H3_3,PI_3.9375-4.375,Motif_9_YYY,Motif_10_YYG,Motif_10_YYY,Motif_3_YY,Motif_8_YY,Motif_8_YYY,Motif_10_YY,Motif_2_YG,Motif_2_YY,Motif_7_YY,Motif_7_YYY,Motif_6_YY,Motif_5_YY,Motif_9_YY,,,,,,,,,,,,,,,,,
r1_33,Germ_HV_IGHV3-23*01,Germ_HJ_IGHJ6*01,Canonical_H1_1,Canonical_H2_6,Canonical_H3_0,PI_6.125-7.0,Motif_9_YYY,Motif_10_YYG,Motif_10_YYY,Motif_3_YY,Motif_8_YY,Motif_2_GG,Motif_8_YYY,Motif_10_YY,Motif_2_YG,Motif_2_YY,Motif_7_YY,Motif_7_YYY,Motif_6_YY,Motif_5_YY,Motif_9_YY,,,,,,,,,,,,,,,,
r1_34,Germ_HV_IGHV3-23*01,Germ_HJ_IGHJ6*01,Canonical_H1_1,Canonical_H2_6,Canonical_H3_0,PI_0.0-3.5,Motif_9_YYY,Motif_10_YYG,Motif_10_YYY,Motif_3_YY,Motif_6_SG,Motif_8_YY,Motif_3_YYD,Motif_3_SG,Motif_5_SG,Motif_8_YYY,Motif_10_YY,Motif_4_YD,Motif_7_SG,Motif_2_YG,Motif_2_YY,Motif_7_YY,Motif_7_YYY,Motif_6_YY,Motif_5_YY,Motif_4_SG,Motif_9_YY,,,,,,,,,,
r1_35,Germ_HV_IGHV3-23*01,Germ_HJ_IGHJ6*01,Canonical_H1_1,Canonical_H2_6,Canonical_H3_0,PI_6.125-7.0,Motif_9_YYY,Motif_10_YYG,Motif_10_YYY,Motif_3_YY,Motif_8_YY,Motif_2_GG,Motif_8_YYY,Motif_10_YY,Motif_2_YG,Motif_2_YY,Motif_7_YY,Motif_7_YYY,Motif_6_YY,Motif_5_YY,Motif_9_YY,,,,,,,,,,,,,,,,
r1_36,Germ_HV_IGHV3-23*01,Germ_HJ_IGHJ6*01,Canonical_H1_1,Canonical_H2_6,Canonical_H3_0,PI_6.125-7.0,Motif_9_YYY,Motif_10_YYG,Motif_10_YYY,Motif_3_YY,Motif_8_YY,Motif_8_YYY,Motif_10_YY,Motif_2_YG,Motif_2_YY,Motif_7_YY,Motif_7_YYY,Motif_6_YY,Motif_8_GY,Motif_5_YY,Motif_9_YY,,,,,,,,,,,,,,,,
r1_37,Germ_HV_IGHV3-23*01,Germ_HJ_IGHJ6*01,Canonical_H1_1,Canonical_H2_6,Canonical_H3_0,PI_3.9375-4.375,Motif_9_YYY,Motif_10_YYY,Motif_3_YY,Motif_8_YY,Motif_3_SS,Motif_4_SS,Motif_8_YYY,Motif_10_YY,Motif_2_YY,Motif_7_YY,Motif_7_YYY,Motif_6_YY,Motif_8_GY,Motif_5_YY,Motif_9_YY,Motif_6_SS,,,,,,,,,,,,,,,
r1_38,Germ_HV_IGHV3-23*01,Germ_HJ_IGHJ6*01,Canonical_H1_1,Canonical_H2_6,Canonical_H3_0,PI_7.0-14.0,Motif_2_GG,Motif_2_YG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r1_39,Germ_HV_IGHV3-23*01,Germ_HJ_IGHJ6*01,Canonical_H1_1,Canonical_H2_0,Canonical_H3_3,PI_3.5-3.9375,Motif_9_YYY,Motif_4_YDS,Motif_10_YYY,Motif_3_YY,Motif_8_YY,Motif_3_YYD,Motif_8_YYY,Motif_10_YY,Motif_4_YD,Motif_5_DS,Motif_2_YY,Motif_7_YY,Motif_7_YYY,Motif_6_YY,Motif_8_GY,Motif_5_YY,Motif_9_YY,,,,,,,,,,,,,,
r1_40,Germ_HV_IGHV3-23*01,Germ_HJ_IGHJ6*01,Canonical_H1_1,Canonical_H2_6,Canonical_H3_0,PI_7.0-14.0,Motif_9_YYY,Motif_10_YYG,Motif_10_YYY,Motif_3_YY,Motif_8_YY,Motif_8_YYY,Motif_10_YY,Motif_2_YG,Motif_2_YY,Motif_7_YY,Motif_7_YYY,Motif_6_YY,Motif_5_YY,Motif_9_YY,,,,,,,,,,,,,,,,,
r1_41,Germ_HV_IGHV3-23*01,Germ_HJ_IGHJ6*01,Canonical_H1_1,Canonical_H2_6,Canonical_H3_0,PI_7.0-14.0,Motif_9_YYY,Motif_10_YYG,Motif_10_YYY,Motif_3_YY,Motif_6_SG,Motif_8_YY,Motif_3_SG,Motif_5_SG,Motif_2_GG,Motif_8_YYY,Motif_10_YY,Motif_2_GS,Motif_7_SG,Motif_2_YG,Motif_2_YY,Motif_7_YY,Motif_7_YYY,Motif_6_YY,Motif_8_GY,Motif_5_YY,Motif_4_SG,Motif_9_YY,,,,,,,,,
r1_42,Germ_HV_IGHV3-23*01,Germ_HJ_IGHJ4*02,Canonical_H1_1,Canonical_H2_6,Canonical_H3_3,PI_3.5-3.9375,Motif_3_YY,Motif_6_SG,Motif_8_YY,Motif_3_SG,Motif_5_SG,Motif_10_YY,Motif_7_SG,Motif_2_YY,Motif_7_YY,Motif_6_YY,Motif_5_YY,Motif_4_SG,Motif_9_YY,,,,,,,,,,,,,,,,,,
r1_43,Germ_HV_IGHV3-23*01,Germ_HJ_IGHJ6*01,Canonical_H1_1,Canonical_H2_6,Canonical_H3_3,PI_4.375-4.8125,Motif_9_YYY,Motif_10_YYG,Motif_10_YYY,Motif_3_YY,Motif_6_SG,Motif_8_YY,Motif_3_SG,Motif_5_SG,Motif_8_YYY,Motif_10_YY,Motif_7_SG,Motif_2_YG,Motif_2_YY,Motif_7_YY,Motif_7_YYY,Motif_6_YY,Motif_5_YY,Motif_4_SG,Motif_9_YY,,,,,,,,,,,,
r1_44,Germ_HV_IGHV3-23*01,Germ_HJ_IGHJ4*02,Canonical_H1_1,Canonical_H2_6,Canonical_H3_3,PI_6.125-7.0,Motif_3_YY,Motif_8_YY,Motif_3_SS,Motif_4_SS,Motif_2_GG,Motif_10_YY,Motif_2_YY,Motif_7_YY,Motif_6_YY,Motif_5_YY,Motif_9_YY,Motif_6_SS,,,,,,,,,,,,,,,,,,,
r1_45,Germ_HV_IGHV3-23*01,Germ_HJ_IGHJ6*01,Canonical_H1_1,Canonical_H2_6,Canonical_H3_3,PI_4.375-4.8125,Motif_9_YYY,Motif_10_YYG,Motif_10_YYY,Motif_3_YY,Motif_8_YY,Motif_3_SS,Motif_4_SS,Motif_8_YYY,Motif_10_YY,Motif_2_YG,Motif_9_FD,Motif_2_YY,Motif_7_YY,Motif_7_YYY,Motif_6_YY,Motif_5_YY,Motif_9_YY,Motif_6_SS,,,,,,,,,,,,,
r1_46,Germ_HV_IGHV3-23*01,Germ_HJ_IGHJ4*02,Canonical_H1_1,Canonical_H2_6,Canonical_H3_0,PI_3.9375-4.375,Motif_3_YY,Motif_8_YY,Motif_10_YY,Motif_2_YY,Motif_7_YY,Motif_6_YY,Motif_5_YY,Motif_9_YY,,,,,,,,,,,,,,,,,,,,,,,
r1_47,Germ_HV_IGHV3-23*01,Germ_HJ_IGHJ6*01,Canonical_H1_1,Canonical_H2_6,Canonical_H3_3,PI_3.9375-4.375,Motif_9_YYY,Motif_10_YYG,Motif_10_YYY,Motif_3_YY,Motif_8_YY,Motif_8_YYY,Motif_10_YY,Motif_2_YG,Motif_2_YY,Motif_7_YY,Motif_7_YYY,Motif_6_YY,Motif_5_YY,Motif_9_YY,,,,,,,,,,,,,,,,,
r1_48,Germ_HV_IGHV3-23*01,Germ_HJ_IGHJ6*01,Canonical_H1_1,Canonical_H2_6,Canonical_H3_2,PI_5.25-5.6875,Motif_3_YY,Motif_8_YY,Motif_3_YYD,Motif_2_GG,Motif_10_YY,Motif_4_YD,Motif_2_YG,Motif_2_YY,Motif_7_YY,Motif_6_YY,Motif_5_YY,Motif_9_YY,,,,,,,,,,,,,,,,,,,
r1_49,Germ_HV_IGHV3-23*01,Germ_HJ_IGHJ6*01,Canonical_H1_1,Canonical_H2_6,Canonical_H3_3,PI_3.9375-4.375,Motif_10_YYG,Motif_3_YY,Motif_8_YY,Motif_3_SS,Motif_4_SS,Motif_2_GG,Motif_10_YY,Motif_5_DS,Motif_2_YG,Motif_2_YY,Motif_7_YY,Motif_6_YY,Motif_8_GY,Motif_5_YY,Motif_9_YY,Motif_6_SS,,,,,,,,,,,,,,,
r1_50,Germ_HV_IGHV3-23*01,Germ_HJ_IGHJ6*01,Canonical_H1_1,Canonical_H2_6,Canonical_H3_3,PI_3.9375-4.375,Motif_9_YYY,Motif_10_YYY,Motif_3_YY,Motif_8_YY,Motif_3_SS,Motif_4_SS,Motif_2_GG,Motif_8_YYY,Motif_10_YY,Motif_2_YY,Motif_7_YY,Motif_7_YYY,Motif_6_YY,Motif_5_YY,Motif_9_YY,Motif_6_SS,,,,,,,,,,,,,,,
r1_51,Germ_HV_IGHV3-23*01,Germ_HJ_IGHJ6*01,Canonical_H1_1,Canonical_H2_6,Canonical_H3_3,PI_3.5-3.9375,Motif_9_YYY,Motif_10_YYG,Motif_10_YYY,Motif_3_YY,Motif_8_YY,Motif_8_YYY,Motif_10_YY,Motif_2_YG,Motif_9_FD,Motif_2_YY,Motif_7_YY,Motif_7_YYY,Motif_6_YY,Motif_5_YY,Motif_9_YY,,,,,,,,,,,,,,,,
r1_52,Germ_HV_IGHV3-23*01,Germ_HJ_IGHJ6*01,Canonical_H1_1,Canonical_H2_6,Canonical_H3_3,PI_0.0-3.5,Motif_9_YYY,Motif_10_YYG,Motif_10_YYY,Motif_3_YY,Motif_8_YY,Motif_2_GG,Motif_8_YYY,Motif_10_YY,Motif_2_YG,Motif_2_YY,Motif_7_YY,Motif_7_YYY,Motif_6_YY,Motif_5_YY,Motif_9_YY,,,,,,,,,,,,,,,,
r1_53,Germ_HV_IGHV3-23*01,Germ_HJ_IGHJ6*01,Canonical_H1_1,Canonical_H2_6,Canonical_H3_3,PI_5.6875-6.125,Motif_9_YYY,Motif_10_YYG,Motif_10_YYY,Motif_3_YY,Motif_8_YY,Motif_2_GG,Motif_8_YYY,Motif_10_YY,Motif_2_YG,Motif_2_YY,Motif_7_YY,Motif_7_YYY,Motif_6_YY,Motif_5_YY,Motif_9_YY,,,,,,,,,,,,,,,,
r1_54,Germ_HV_IGHV3-23*01,Germ_HJ_IGHJ6*01,Canonical_H1_1,Canonical_H2_6,Canonical_H3_3,PI_3.9375-4.375,Motif_9_YYY,Motif_10_YYG,Motif_10_YYY,Motif_3_YY,Motif_8_YY,Motif_8_YYY,Motif_10_YY,Motif_2_YG,Motif_9_FD,Motif_2_YY,Motif_7_YY,Motif_7_YYY,Motif_6_YY,Motif_8_GY,Motif_5_YY,Motif_9_YY,,,,,,,,,,,,,,,
r1_55,Germ_HV_IGHV3-23*01,Germ_HJ_IGHJ4*02,Canonical_H1_1,Canonical_H2_6,Canonical_H3_0,PI_5.6875-6.125,Motif_8_GY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r1_56,Germ_HV_IGHV3-23*01,Germ_HJ_IGHJ6*01,Canonical_H1_1,Canonical_H2_6,Canonical_H3_3,PI_4.375-4.8125,Motif_9_YYY,Motif_10_YYG,Motif_10_YYY,Motif_3_YY,Motif_8_YY,Motif_2_GG,Motif_8_YYY,Motif_10_YY,Motif_4_YD,Motif_2_YG,Motif_2_YY,Motif_7_YY,Motif_7_YYY,Motif_6_YY,Motif_8_GY,Motif_5_YY,Motif_9_YY,,,,,,,,,,,,,,
r1_57,Germ_HV_IGHV3-23*01,Germ_HJ_IGHJ6*01,Canonical_H1_1,Canonical_H2_6,Canonical_H3_3,PI_4.375-4.8125,Motif_9_YYY,Motif_10_YYG,Motif_10_YYY,Motif_3_YY,Motif_8_YY,Motif_8_YYY,Motif_10_YY,Motif_2_YG,Motif_2_YY,Motif_7_YY,Motif_7_YYY,Motif_6_YY,Motif_5_YY,Motif_9_YY,,,,,,,,,,,,,,,,,
r1_58,Germ_HV_IGHV3-23*01,Germ_HJ_IGHJ6*01,Canonical_H1_1,Canonical_H2_6,Canonical_H3_3,PI_5.25-5.6875,Motif_2_YG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r1_59,Germ_HV_IGHV3-23*01,Germ_HJ_IGHJ6*01,Canonical_H1_1,Canonical_H2_6,Canonical_H3_3,PI_3.9375-4.375,Motif_9_YYY,Motif_10_YYG,Motif_10_YYY,Motif_3_YY,Motif_8_YY,Motif_2_GG,Motif_8_YYY,Motif_10_YY,Motif_5_DS,Motif_2_YG,Motif_2_YY,Motif_7_YY,Motif_7_YYY,Motif_6_YY,Motif_5_YY,Motif_9_YY,,,,,,,,,,,,,,,
r1_60,Germ_HV_IGHV3-23*01,Germ_HJ_IGHJ6*01,Canonical_H1_1,Canonical_H2_6,Canonical_H3_3,PI_3.9375-4.375,Motif_10_YYG,Motif_3_YY,Motif_6_SG,Motif_8_YY,Motif_3_YYD,Motif_3_SG,Motif_5_SG,Motif_10_YY,Motif_4_YD,Motif_7_SG,Motif_5_DS,Motif_2_YG,Motif_2_YY,Motif_7_YY,Motif_6_YY,Motif_5_YY,Motif_4_SG,Motif_9_YY,,,,,,,,,,,,,
r1_61,Germ_HV_IGHV3-23*01,Germ_HJ_IGHJ6*01,Canonical_H1_1,Canonical_H2_6,Canonical_H3_3,PI_3.9375-4.375,Motif_10_YYG,Motif_3_YY,Motif_6_SG,Motif_8_YY,Motif_3_SG,Motif_5_SG,Motif_2_GG,Motif_10_YY,Motif_7_SG,Motif_2_YG,Motif_2_YY,Motif_7_YY,Motif_6_YY,Motif_5_YY,Motif_4_SG,Motif_9_YY,,,,,,,,,,,,,,,
r1_62,Germ_HV_IGHV3-23*01,Germ_HJ_IGHJ6*01,Canonical_H1_1,Canonical_H2_6,Canonical_H3_3,PI_3.5-3.9375,Motif_10_YYG,Motif_3_YY,Motif_8_YY,Motif_10_YY,Motif_2_YG,Motif_2_YY,Motif_7_YY,Motif_6_YY,Motif_5_YY,Motif_9_YY,,,,,,,,,,,,,,,,,,,,,
